date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:43	1582/1582	---M--	200	added ('OK')	application/javascript	etag:%225e6e3e2e-62e%22	http://baha.malyarchuk.space/setting/main-demo.js	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/setting/main-demo.js	(from http://baha.malyarchuk.space/ind-slider.html)
12:25:43	7542/7542	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e1518c7-1d76%22	http://baha.malyarchuk.space/js/main.js	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/js/main.js	(from http://baha.malyarchuk.space/ind-slider.html)
12:25:48	205675/205675	---M--	200	added ('OK')	image/jpeg	etag:%225cd94be8-3236b%22	http://baha.malyarchuk.space/img/blog/img-4.jpg	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/img/blog/img-4.jpg	(from http://baha.malyarchuk.space/ind-slider.html)
12:25:55	72148/72148	---M--	200	added ('OK')	font/woff2	etag:%225c5473b4-119d4%22	http://baha.malyarchuk.space/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-brands-400.woff2	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:25:55	313691/313691	---M--	200	added ('OK')	image/jpeg	etag:%225cd94be3-4c95b%22	http://baha.malyarchuk.space/img/blog/img-1.jpg	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/img/blog/img-1.jpg	(from http://baha.malyarchuk.space/ind-slider.html)
12:26:02	84568/84568	---M--	200	added ('OK')	font/woff	etag:%225c5473b4-14a58%22	http://baha.malyarchuk.space/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-brands-400.woff	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:03	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-1e988%22	http://baha.malyarchuk.space/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-brands-400.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:06	13608/13608	---M--	200	added ('OK')	font/woff2	etag:%225c5473b4-3528%22	http://baha.malyarchuk.space/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-regular-400.woff2	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:08	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-8654%22	http://baha.malyarchuk.space/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-regular-400.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:09	16812/16812	---M--	200	added ('OK')	font/woff	etag:%225c5473b4-41ac%22	http://baha.malyarchuk.space/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-regular-400.woff	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:12	144523/144523	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c5473b4-2348b%22	http://baha.malyarchuk.space/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-regular-400.svg	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:15	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-1e988%22	http://baha.malyarchuk.space/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-brands-400d41d.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:15	125016/125016	---M--	200	added ('OK')	application/octet-stream	etag:%225c5473b4-1e858%22	http://baha.malyarchuk.space/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-brands-400.ttf	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:24	74320/74320	---M--	200	added ('OK')	font/woff2	etag:%225c5473b4-12250%22	http://baha.malyarchuk.space/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-solid-900.woff2	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:25	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2025%20Nov%202020%2006:56:26%20GMT	http://baha.malyarchuk.space/css/plugins/owl.video.play.png	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/css/plugins/owl.video.play.4e.delayed	(from http://baha.malyarchuk.space/css/plugins/owl.carousel.min.css)
12:26:31	96248/96248	---M--	200	added ('OK')	font/woff	etag:%225c5473b4-177f8%22	http://baha.malyarchuk.space/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-solid-900.woff	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
12:26:39	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-2d890%22	http://baha.malyarchuk.space/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/portfolio/baha.malyarchuk.space/fonts/fa-solid-900d41d.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
